# compound_verbs.tsv -- noun <TAB> light-verb infinitive. One row per two-token
# Persian compound verb, derived from the pinned wty-fa-en build (English
# Wiktionary via wiktionary-to-yomitan / kaikki.org), CC BY-SA 4.0. The second
# column is always an infinitive present in hazm's verbs.dat.
تحویل	دادن
تحویل	گرفتن
تخمین	زدن
تراگسیل	کردن
ترتیب	دادن
ترجمه	کردن
ترجیح	دادن
تردید	داشتن
تردید	کردن
ترمز	کردن
ترک	کردن
تسخیر	کردن
تسلیم	شدن
تشخیص	دادن
تشریف	آوردن
تشریف	بردن
تشریف	داشتن
تشویق	کردن
تشکر	کردن
تشکیل	دادن
تصادف	کردن
تصریح	کردن
تصمیم	گرفتن
تصور	کردن
تضمین	کردن
تطابق	کردن
تعارف	کردن
تعجب	کردن
تعریف	کردن
تعمیر	کردن
تعیین	کردن
تف	انداختن
تف	کردن
تفریح	کردن
تفسیر	کردن
تقدیم	کردن
تقسیم	کردن
تقلید	کردن
تقویت	کردن
تقیه	کردن
تلاش	کردن
تلفظ	کردن
تلقی	شدن
تلقی	کردن
تماس	گرفتن
تماشا	کردن
تمام	شدن
تمام	کردن
تمایل	داشتن
تمرین	کردن
تمیز	کردن
تمییز	دادن
تن	دادن
تن	کردن
تنظیم	کردن
تهدید	کردن
تهمت	زدن
تهیه	کردن
توجه	کردن
توجیه	کردن
توصیف	کردن
توصیه	کردن
توضیح	دادن
توهین	کردن
توییت	کردن
تکان	خوردن
تکان	دادن
تکرار	کردن
تکلم	شدن
تک‌زنگ	زدن
تیز	کردن
ثابت	کردن
جا	افتادن
جا	انداختن
جا	دادن
جا	زدن
جا	شدن
جا	گذاشتن
جار	زدن
جاری	بودن
جبران	کردن
جدا	شدن
جدا	کردن
جذب	کردن
جستجو	کردن
جشن	گرفتن
جفت	شدن
جق	زدن
جلب	کردن
جلق	زدن
جلو	زدن
جلوه	دادن
جمع	شدن
جمع	کردن
جمع‌آوری	کردن
جواب	دادن
جور	شدن
جوش	آمدن
جوش	دادن
جوگیر	شدن
جیش	کردن
جیغ	زدن
جیم	زدن
حاشیه	رفتن
حاضر	کردن
حبس	کردن
حد	زدن
حدس	زدن
حرف	زدن
حرکت	کردن
حس	کردن
حساب	کردن
حسرت	کشیدن
حشری	شدن
حظ	کردن
حفر	کردن
حفظ	کردن
حل	شدن
حل	کردن
حمام	کردن
حمایت	کردن
حمل	کردن
حکومت	کردن
خاطرنشان	کردن
خال	کوبیدن
خالی	بستن
خالی	کردن
خاموش	کردن
ختنه	کردن
خراب	شدن
خراب	کردن
خرج	کردن
خرد	کردن
خرده	گرفتن
خرید	کردن
خط	زدن
خطا	رفتن
خطور	کردن
خفه	شدن
خفه	کردن
خلاص	شدن
خلاص	کردن
خنثی	کردن
خنده	زدن
خنده	کردن
خواب	بردن
خواب	دیدن
خواب	رفتن
خواب	کردن
خواهش	کردن
خود	نوشتن
خودداری	کردن
خودکشی	کردن
خوش	آمدن
خوش	گذشتن
خون	خوردن
خون	کردن
خوی	کردن
خیانت	کردن
خیره	کردن
خیس	کردن
دارا	بودن
داغ	کردن
دامن	زدن
دانلود	کردن
در	رفتن
دراز	کشیدن
درخواست	دادن
درخواست	کردن
درد	کردن
درد	گرفتن
درس	خواندن
درست	کردن
درمان	کردن
دروغ	بافتن
دروغ	گفتن
درک	کردن
دریافت	کردن
دریغ	کردن
دزدی	کردن
دست	دادن
دست	زدن
دست	کشیدن
دست	یافتن
دستبرد	زدن
دستگیر	کردن
دست‌کم	گرفتن
دعا	کردن
دعوت	کردن
دفاع	کردن
دفن	کردن
دقت	کردن
دم	زدن
دنبال	آمدن
دنبال	کردن
دوام	آوردن
دور	انداختن
دوست	داشتن
دوش	گرفتن
دول	دادن
دگرگون	کردن
دیباگ	کردن
دیدار	کردن
دیدن	کردن
دیر	کردن
ذخیره	کردن
ذکر	کردن
رأی	دادن
راست	کردن
راست	گفتن
راضی	کردن
رانندگی	کردن
راه	انداختن
راه	بردن
راه	دادن
راه	رفتن
راه	زدن
راهی	کردن
رجوع	کردن
رخ	دادن
رد	شدن
رد	کردن
رزرو	کردن
رسم	کردن
رسیدگی	کردن
رشد	کردن
رصد	کردن
رقم	خوردن
رل	زدن
رنده	کردن
