# colloquial.tsv -- informal <TAB> formal <TAB> source. Tehrani colloquial
# spellings and the formal word they stand for. Sources: hazm 0.12.1
# (iwords.dat and InformalNormalizer's direct table) and shekar 1.6.3
# (informal_words.csv), both MIT. Identity pairs and multi-word keys dropped;
# hazm wins a clash.
قبلن	قبلاً	hazm
قربون	قربان	hazm
قطعن	قطعاً	hazm
قلبن	قلباً	hazm
قلیون	قلیان	shekar
قندون	قندان	shekar
لزومن	لزوماً	hazm
لطفن	لطفاً	hazm
لونه	لانه	shekar
مارو	ما را	hazm
ماشالا	ماشاءالله	shekar
ماکروفر	مایکروفر	hazm
مث	مثل	hazm
مثلن	مثلاً	hazm
مثه	مثل	hazm
مجددن	مجدداً	hazm
مخصوصن	مخصوصاً	hazm
مرتیکه	مردکه	hazm
مردونه	مردانه	shekar
مستقیمن	مستقیماً	hazm
مش	مشهدی	hazm
مشتی	مشهدی	hazm
مشد	مشهدی	hazm
مشدی	مشهدی	hazm
مطمئنن	مطمئناً	hazm
معمولن	معمولاً	hazm
مهربون	مهربان	hazm
مهربونی	مهربانی	hazm
مهمون	‌مهمان	hazm
مهمونا	‌مهمان‌ها	hazm
مهمونی	مهمانی	hazm
مون	مان	hazm
مونده	مانده	hazm
مکتب‌خونه	مکتب‌خانه	shekar
مگه	مگر	hazm
میاد	می‌آید	hazm
میاومد	می‌آمد	hazm
میاید	می‌آید	hazm
میایم	می‌آیم	hazm
میده	می‌دهد	hazm
میدون	میدان	hazm
میشه	می‌شود	hazm
میون	میان	hazm
می‌اومد	می‌آمد	hazm
می‌ده	می‌دهد	hazm
می‌شه	می‌شود	hazm
ناتموم	ناتمام	shekar
ناخون	ناخن	hazm
نادون	نادان	shekar
نادونی	نادانی	shekar
ناهار	نهار	hazm
نردبون	نردبان	shekar
نسبتن	نسبتاً	hazm
نشون	نشان	hazm
نشونه	نشانه	hazm
نشونی	نشانی	hazm
نمکدون	نمکدان	shekar
نمیاید	نمی‌آید	hazm
نمیایم	نمی‌آیم	hazm
نهایتن	نهایتاً	hazm
نوجوون	نوجوان	shekar
نون	نان	hazm
نوندونی	نان‌دانی	shekar
نگا	نگاه	hazm
نگه	نگاه	hazm
نیس	نیست	hazm
نیگا	نگاه	hazm
هارو	ها را	hazm
هاش	هایش	hazm
هام	هایم	hazm
هذیون	هذیان	shekar
هرکدوم	هرکدام	hazm
هس	هست	hazm
همخونه	هم‌خانه	shekar
همدیگه	همدیگر	hazm
همش	همه‌اش	hazm
همون	همان	hazm
همینجا	همین جا	hazm
هم‌خونه	هم‌خانه	shekar
هندونه	هندوانه	shekar
هواس	حواس	hazm
هیش	هیچ	hazm
واسه	برای	hazm
واقعن	واقعاً	hazm
والا	والله	hazm
وایساده	ایستاده	hazm
وخ	وقت	hazm
وخت	وقت	hazm
وقتایی	وقت‌هایی	hazm
وقط	وقت	hazm
ویا	و یا	hazm
ویرون	ویران	shekar
ویرونه	ویرانه	shekar
پرسون	پرسان	shekar
پریشون	پریشان	shekar
پسرونه	پسرانه	hazm
پشتبوم	پشت‌بام	shekar
پشیمون	پشیمان	hazm
پمبه	پنبه	hazm
پنهون	پنهان	shekar
پهلون	پهلوان	shekar
پهلوون	پهلوان	shekar
پوس	پوست	hazm
پونزده	پانزده	shekar
پونصد	پانصد	shekar
پوووول	پول	hazm
پیرن	پیراهن	hazm
پیشخون	پیشخوان	shekar
پیشونی	پیشانی	hazm
چار	چهار	hazm
چاهار	چهار	hazm
چایخونه	چای‌خانه	shekar
چای‌خونه	چای‌خانه	shekar
چرخون	چرخان	shekar
چسبون	چسبان	shekar
چسپ	چسب	hazm
چشا	‌چشم‌ها	hazm
چقد	چقدر	hazm
چقددد	چقدر	hazm
چل	چهل	hazm
چمدون	چمدان	hazm
چن	چند	hazm
چو	چون	hazm
